file_path,labels_path,exercise,n_frames,frames_benar,frames_salah
data\processed\tensors\BenchPress_028.npy,data\processed\v2_labels\BenchPress_028_labels.npy,benchpress,64,11,53
data\processed\tensors\BenchPress_029.npy,data\processed\v2_labels\BenchPress_029_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_030.npy,data\processed\v2_labels\BenchPress_030_labels.npy,benchpress,64,18,46
data\processed\tensors\BenchPress_031.npy,data\processed\v2_labels\BenchPress_031_labels.npy,benchpress,64,4,60
data\processed\tensors\BenchPress_032.npy,data\processed\v2_labels\BenchPress_032_labels.npy,benchpress,64,16,48
data\processed\tensors\BenchPress_033.npy,data\processed\v2_labels\BenchPress_033_labels.npy,benchpress,64,7,57
data\processed\tensors\BenchPress_034.npy,data\processed\v2_labels\BenchPress_034_labels.npy,benchpress,64,10,54
data\processed\tensors\BenchPress_035.npy,data\processed\v2_labels\BenchPress_035_labels.npy,benchpress,64,1,63
data\processed\tensors\BenchPress_036.npy,data\processed\v2_labels\BenchPress_036_labels.npy,benchpress,64,12,52
data\processed\tensors\BenchPress_037.npy,data\processed\v2_labels\BenchPress_037_labels.npy,benchpress,64,10,54
data\processed\tensors\BenchPress_038.npy,data\processed\v2_labels\BenchPress_038_labels.npy,benchpress,64,12,52
data\processed\tensors\BenchPress_039.npy,data\processed\v2_labels\BenchPress_039_labels.npy,benchpress,64,4,60
data\processed\tensors\BenchPress_040.npy,data\processed\v2_labels\BenchPress_040_labels.npy,benchpress,64,7,57
data\processed\tensors\BenchPress_041.npy,data\processed\v2_labels\BenchPress_041_labels.npy,benchpress,64,3,61
data\processed\tensors\BenchPress_042.npy,data\processed\v2_labels\BenchPress_042_labels.npy,benchpress,64,5,59
data\processed\tensors\BenchPress_043.npy,data\processed\v2_labels\BenchPress_043_labels.npy,benchpress,64,5,59
data\processed\tensors\BenchPress_044.npy,data\processed\v2_labels\BenchPress_044_labels.npy,benchpress,64,1,63
data\processed\tensors\BenchPress_045.npy,data\processed\v2_labels\BenchPress_045_labels.npy,benchpress,64,13,51
data\processed\tensors\BenchPress_046.npy,data\processed\v2_labels\BenchPress_046_labels.npy,benchpress,64,1,63
data\processed\tensors\BenchPress_047.npy,data\processed\v2_labels\BenchPress_047_labels.npy,benchpress,64,4,60
data\processed\tensors\BenchPress_048.npy,data\processed\v2_labels\BenchPress_048_labels.npy,benchpress,64,5,59
data\processed\tensors\BenchPress_049.npy,data\processed\v2_labels\BenchPress_049_labels.npy,benchpress,64,25,39
data\processed\tensors\BenchPress_050.npy,data\processed\v2_labels\BenchPress_050_labels.npy,benchpress,64,21,43
data\processed\tensors\BenchPress_051.npy,data\processed\v2_labels\BenchPress_051_labels.npy,benchpress,64,22,42
data\processed\tensors\BenchPress_052.npy,data\processed\v2_labels\BenchPress_052_labels.npy,benchpress,64,6,58
data\processed\tensors\BenchPress_053.npy,data\processed\v2_labels\BenchPress_053_labels.npy,benchpress,64,12,52
data\processed\tensors\BenchPress_054.npy,data\processed\v2_labels\BenchPress_054_labels.npy,benchpress,64,16,48
data\processed\tensors\BenchPress_055.npy,data\processed\v2_labels\BenchPress_055_labels.npy,benchpress,64,13,51
data\processed\tensors\BenchPress_056.npy,data\processed\v2_labels\BenchPress_056_labels.npy,benchpress,64,30,34
data\processed\tensors\BenchPress_057.npy,data\processed\v2_labels\BenchPress_057_labels.npy,benchpress,64,28,36
data\processed\tensors\BenchPress_058.npy,data\processed\v2_labels\BenchPress_058_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_059.npy,data\processed\v2_labels\BenchPress_059_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_060.npy,data\processed\v2_labels\BenchPress_060_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_061.npy,data\processed\v2_labels\BenchPress_061_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_062.npy,data\processed\v2_labels\BenchPress_062_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_063.npy,data\processed\v2_labels\BenchPress_063_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_064.npy,data\processed\v2_labels\BenchPress_064_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_065.npy,data\processed\v2_labels\BenchPress_065_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_066.npy,data\processed\v2_labels\BenchPress_066_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_067.npy,data\processed\v2_labels\BenchPress_067_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_068.npy,data\processed\v2_labels\BenchPress_068_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_069.npy,data\processed\v2_labels\BenchPress_069_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_070.npy,data\processed\v2_labels\BenchPress_070_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_071.npy,data\processed\v2_labels\BenchPress_071_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_072.npy,data\processed\v2_labels\BenchPress_072_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_073.npy,data\processed\v2_labels\BenchPress_073_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_074.npy,data\processed\v2_labels\BenchPress_074_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_075.npy,data\processed\v2_labels\BenchPress_075_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_076.npy,data\processed\v2_labels\BenchPress_076_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_077.npy,data\processed\v2_labels\BenchPress_077_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_078.npy,data\processed\v2_labels\BenchPress_078_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_079.npy,data\processed\v2_labels\BenchPress_079_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_080.npy,data\processed\v2_labels\BenchPress_080_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_081.npy,data\processed\v2_labels\BenchPress_081_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_082.npy,data\processed\v2_labels\BenchPress_082_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_083.npy,data\processed\v2_labels\BenchPress_083_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_084.npy,data\processed\v2_labels\BenchPress_084_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_085.npy,data\processed\v2_labels\BenchPress_085_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_086.npy,data\processed\v2_labels\BenchPress_086_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_087.npy,data\processed\v2_labels\BenchPress_087_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_088.npy,data\processed\v2_labels\BenchPress_088_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_089.npy,data\processed\v2_labels\BenchPress_089_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_090.npy,data\processed\v2_labels\BenchPress_090_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_091.npy,data\processed\v2_labels\BenchPress_091_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_092.npy,data\processed\v2_labels\BenchPress_092_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_093.npy,data\processed\v2_labels\BenchPress_093_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_094.npy,data\processed\v2_labels\BenchPress_094_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_095.npy,data\processed\v2_labels\BenchPress_095_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_096.npy,data\processed\v2_labels\BenchPress_096_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_097.npy,data\processed\v2_labels\BenchPress_097_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_098.npy,data\processed\v2_labels\BenchPress_098_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_099.npy,data\processed\v2_labels\BenchPress_099_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_100.npy,data\processed\v2_labels\BenchPress_100_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_101.npy,data\processed\v2_labels\BenchPress_101_labels.npy,benchpress,64,53,11
data\processed\tensors\BenchPress_102.npy,data\processed\v2_labels\BenchPress_102_labels.npy,benchpress,64,20,44
data\processed\tensors\BenchPress_103.npy,data\processed\v2_labels\BenchPress_103_labels.npy,benchpress,64,35,29
data\processed\tensors\BenchPress_104.npy,data\processed\v2_labels\BenchPress_104_labels.npy,benchpress,64,5,59
data\processed\tensors\BenchPress_105.npy,data\processed\v2_labels\BenchPress_105_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_108.npy,data\processed\v2_labels\BenchPress_108_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_109.npy,data\processed\v2_labels\BenchPress_109_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_110.npy,data\processed\v2_labels\BenchPress_110_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_111.npy,data\processed\v2_labels\BenchPress_111_labels.npy,benchpress,64,35,29
data\processed\tensors\BenchPress_112.npy,data\processed\v2_labels\BenchPress_112_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_113.npy,data\processed\v2_labels\BenchPress_113_labels.npy,benchpress,64,44,20
data\processed\tensors\BenchPress_114.npy,data\processed\v2_labels\BenchPress_114_labels.npy,benchpress,64,56,8
data\processed\tensors\BenchPress_115.npy,data\processed\v2_labels\BenchPress_115_labels.npy,benchpress,64,16,48
data\processed\tensors\BenchPress_116.npy,data\processed\v2_labels\BenchPress_116_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_117.npy,data\processed\v2_labels\BenchPress_117_labels.npy,benchpress,64,34,30
data\processed\tensors\BenchPress_118.npy,data\processed\v2_labels\BenchPress_118_labels.npy,benchpress,64,43,21
data\processed\tensors\BenchPress_120.npy,data\processed\v2_labels\BenchPress_120_labels.npy,benchpress,64,47,17
data\processed\tensors\BenchPress_121.npy,data\processed\v2_labels\BenchPress_121_labels.npy,benchpress,64,6,58
data\processed\tensors\BenchPress_122.npy,data\processed\v2_labels\BenchPress_122_labels.npy,benchpress,64,32,32
data\processed\tensors\BenchPress_123.npy,data\processed\v2_labels\BenchPress_123_labels.npy,benchpress,64,21,43
data\processed\tensors\BenchPress_124.npy,data\processed\v2_labels\BenchPress_124_labels.npy,benchpress,64,53,11
data\processed\tensors\BenchPress_125.npy,data\processed\v2_labels\BenchPress_125_labels.npy,benchpress,64,2,62
data\processed\tensors\BenchPress_127.npy,data\processed\v2_labels\BenchPress_127_labels.npy,benchpress,64,57,7
data\processed\tensors\BenchPress_128.npy,data\processed\v2_labels\BenchPress_128_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_129.npy,data\processed\v2_labels\BenchPress_129_labels.npy,benchpress,64,22,42
data\processed\tensors\BenchPress_130.npy,data\processed\v2_labels\BenchPress_130_labels.npy,benchpress,64,12,52
data\processed\tensors\BenchPress_131.npy,data\processed\v2_labels\BenchPress_131_labels.npy,benchpress,64,53,11
data\processed\tensors\BenchPress_132.npy,data\processed\v2_labels\BenchPress_132_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_133.npy,data\processed\v2_labels\BenchPress_133_labels.npy,benchpress,64,39,25
data\processed\tensors\BenchPress_134.npy,data\processed\v2_labels\BenchPress_134_labels.npy,benchpress,64,47,17
data\processed\tensors\BenchPress_135.npy,data\processed\v2_labels\BenchPress_135_labels.npy,benchpress,64,20,44
data\processed\tensors\BenchPress_137.npy,data\processed\v2_labels\BenchPress_137_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_138.npy,data\processed\v2_labels\BenchPress_138_labels.npy,benchpress,64,29,35
data\processed\tensors\BenchPress_139.npy,data\processed\v2_labels\BenchPress_139_labels.npy,benchpress,64,50,14
data\processed\tensors\BenchPress_140.npy,data\processed\v2_labels\BenchPress_140_labels.npy,benchpress,64,30,34
data\processed\tensors\BenchPress_141.npy,data\processed\v2_labels\BenchPress_141_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_143.npy,data\processed\v2_labels\BenchPress_143_labels.npy,benchpress,64,1,63
data\processed\tensors\BenchPress_144.npy,data\processed\v2_labels\BenchPress_144_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_145.npy,data\processed\v2_labels\BenchPress_145_labels.npy,benchpress,64,12,52
data\processed\tensors\BenchPress_146.npy,data\processed\v2_labels\BenchPress_146_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_147.npy,data\processed\v2_labels\BenchPress_147_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_149.npy,data\processed\v2_labels\BenchPress_149_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_150.npy,data\processed\v2_labels\BenchPress_150_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_151.npy,data\processed\v2_labels\BenchPress_151_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_152.npy,data\processed\v2_labels\BenchPress_152_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_153.npy,data\processed\v2_labels\BenchPress_153_labels.npy,benchpress,64,34,30
data\processed\tensors\BenchPress_154.npy,data\processed\v2_labels\BenchPress_154_labels.npy,benchpress,64,16,48
data\processed\tensors\BenchPress_155.npy,data\processed\v2_labels\BenchPress_155_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_157.npy,data\processed\v2_labels\BenchPress_157_labels.npy,benchpress,64,57,7
data\processed\tensors\BenchPress_158.npy,data\processed\v2_labels\BenchPress_158_labels.npy,benchpress,64,53,11
data\processed\tensors\BenchPress_159.npy,data\processed\v2_labels\BenchPress_159_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_160.npy,data\processed\v2_labels\BenchPress_160_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_161.npy,data\processed\v2_labels\BenchPress_161_labels.npy,benchpress,64,30,34
data\processed\tensors\BenchPress_162.npy,data\processed\v2_labels\BenchPress_162_labels.npy,benchpress,64,39,25
data\processed\tensors\BenchPress_163.npy,data\processed\v2_labels\BenchPress_163_labels.npy,benchpress,64,53,11
data\processed\tensors\BenchPress_164.npy,data\processed\v2_labels\BenchPress_164_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_165.npy,data\processed\v2_labels\BenchPress_165_labels.npy,benchpress,64,50,14
data\processed\tensors\BenchPress_167.npy,data\processed\v2_labels\BenchPress_167_labels.npy,benchpress,64,35,29
data\processed\tensors\BenchPress_168.npy,data\processed\v2_labels\BenchPress_168_labels.npy,benchpress,64,47,17
data\processed\tensors\BenchPress_169.npy,data\processed\v2_labels\BenchPress_169_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_170.npy,data\processed\v2_labels\BenchPress_170_labels.npy,benchpress,64,53,11
data\processed\tensors\BenchPress_172.npy,data\processed\v2_labels\BenchPress_172_labels.npy,benchpress,64,35,29
data\processed\tensors\BenchPress_173.npy,data\processed\v2_labels\BenchPress_173_labels.npy,benchpress,64,28,36
data\processed\tensors\BenchPress_174.npy,data\processed\v2_labels\BenchPress_174_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_176.npy,data\processed\v2_labels\BenchPress_176_labels.npy,benchpress,64,32,32
data\processed\tensors\BenchPress_177.npy,data\processed\v2_labels\BenchPress_177_labels.npy,benchpress,64,19,45
data\processed\tensors\BenchPress_178.npy,data\processed\v2_labels\BenchPress_178_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_179.npy,data\processed\v2_labels\BenchPress_179_labels.npy,benchpress,64,44,20
data\processed\tensors\BenchPress_180.npy,data\processed\v2_labels\BenchPress_180_labels.npy,benchpress,64,27,37
data\processed\tensors\BenchPress_181.npy,data\processed\v2_labels\BenchPress_181_labels.npy,benchpress,64,22,42
data\processed\tensors\BenchPress_182.npy,data\processed\v2_labels\BenchPress_182_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_183.npy,data\processed\v2_labels\BenchPress_183_labels.npy,benchpress,64,43,21
data\processed\tensors\BenchPress_184.npy,data\processed\v2_labels\BenchPress_184_labels.npy,benchpress,64,7,57
data\processed\tensors\BenchPress_185.npy,data\processed\v2_labels\BenchPress_185_labels.npy,benchpress,64,29,35
data\processed\tensors\BenchPress_186.npy,data\processed\v2_labels\BenchPress_186_labels.npy,benchpress,64,20,44
data\processed\tensors\BenchPress_187.npy,data\processed\v2_labels\BenchPress_187_labels.npy,benchpress,64,20,44
data\processed\tensors\BenchPress_188.npy,data\processed\v2_labels\BenchPress_188_labels.npy,benchpress,64,25,39
data\processed\tensors\BenchPress_189.npy,data\processed\v2_labels\BenchPress_189_labels.npy,benchpress,64,19,45
data\processed\tensors\BenchPress_191.npy,data\processed\v2_labels\BenchPress_191_labels.npy,benchpress,64,56,8
data\processed\tensors\BenchPress_192.npy,data\processed\v2_labels\BenchPress_192_labels.npy,benchpress,64,64,0
data\processed\tensors\BenchPress_193.npy,data\processed\v2_labels\BenchPress_193_labels.npy,benchpress,64,30,34
data\processed\tensors\BenchPress_194.npy,data\processed\v2_labels\BenchPress_194_labels.npy,benchpress,64,25,39
data\processed\tensors\BenchPress_196.npy,data\processed\v2_labels\BenchPress_196_labels.npy,benchpress,64,19,45
data\processed\tensors\BenchPress_197.npy,data\processed\v2_labels\BenchPress_197_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_198.npy,data\processed\v2_labels\BenchPress_198_labels.npy,benchpress,64,7,57
data\processed\tensors\BenchPress_199.npy,data\processed\v2_labels\BenchPress_199_labels.npy,benchpress,64,0,64
data\processed\tensors\BenchPress_200.npy,data\processed\v2_labels\BenchPress_200_labels.npy,benchpress,64,0,64
data\processed\tensors\Deadlift_001.npy,data\processed\v2_labels\Deadlift_001_labels.npy,deadlift,64,12,52
data\processed\tensors\Deadlift_002.npy,data\processed\v2_labels\Deadlift_002_labels.npy,deadlift,64,12,52
data\processed\tensors\Deadlift_003.npy,data\processed\v2_labels\Deadlift_003_labels.npy,deadlift,64,18,46
data\processed\tensors\Deadlift_004.npy,data\processed\v2_labels\Deadlift_004_labels.npy,deadlift,64,18,46
data\processed\tensors\Deadlift_005.npy,data\processed\v2_labels\Deadlift_005_labels.npy,deadlift,64,13,51
data\processed\tensors\Deadlift_006.npy,data\processed\v2_labels\Deadlift_006_labels.npy,deadlift,64,20,44
data\processed\tensors\Deadlift_007.npy,data\processed\v2_labels\Deadlift_007_labels.npy,deadlift,64,15,49
data\processed\tensors\Deadlift_008.npy,data\processed\v2_labels\Deadlift_008_labels.npy,deadlift,64,15,49
data\processed\tensors\Deadlift_009.npy,data\processed\v2_labels\Deadlift_009_labels.npy,deadlift,64,10,54
data\processed\tensors\Deadlift_010.npy,data\processed\v2_labels\Deadlift_010_labels.npy,deadlift,64,22,42
data\processed\tensors\Deadlift_011.npy,data\processed\v2_labels\Deadlift_011_labels.npy,deadlift,64,16,48
data\processed\tensors\Deadlift_012.npy,data\processed\v2_labels\Deadlift_012_labels.npy,deadlift,64,27,37
data\processed\tensors\Deadlift_013.npy,data\processed\v2_labels\Deadlift_013_labels.npy,deadlift,64,15,49
data\processed\tensors\Deadlift_014.npy,data\processed\v2_labels\Deadlift_014_labels.npy,deadlift,64,24,40
data\processed\tensors\Deadlift_015.npy,data\processed\v2_labels\Deadlift_015_labels.npy,deadlift,64,16,48
data\processed\tensors\Deadlift_016.npy,data\processed\v2_labels\Deadlift_016_labels.npy,deadlift,64,24,40
data\processed\tensors\Deadlift_017.npy,data\processed\v2_labels\Deadlift_017_labels.npy,deadlift,64,24,40
data\processed\tensors\Deadlift_018.npy,data\processed\v2_labels\Deadlift_018_labels.npy,deadlift,64,19,45
data\processed\tensors\Deadlift_019.npy,data\processed\v2_labels\Deadlift_019_labels.npy,deadlift,64,24,40
data\processed\tensors\Deadlift_020.npy,data\processed\v2_labels\Deadlift_020_labels.npy,deadlift,64,14,50
data\processed\tensors\Deadlift_021.npy,data\processed\v2_labels\Deadlift_021_labels.npy,deadlift,64,28,36
data\processed\tensors\Deadlift_022.npy,data\processed\v2_labels\Deadlift_022_labels.npy,deadlift,64,10,54
data\processed\tensors\Deadlift_023.npy,data\processed\v2_labels\Deadlift_023_labels.npy,deadlift,64,21,43
data\processed\tensors\Deadlift_024.npy,data\processed\v2_labels\Deadlift_024_labels.npy,deadlift,64,9,55
data\processed\tensors\Deadlift_025.npy,data\processed\v2_labels\Deadlift_025_labels.npy,deadlift,64,12,52
data\processed\tensors\Deadlift_026.npy,data\processed\v2_labels\Deadlift_026_labels.npy,deadlift,64,4,60
data\processed\tensors\Deadlift_027.npy,data\processed\v2_labels\Deadlift_027_labels.npy,deadlift,64,9,55
data\processed\tensors\Deadlift_028.npy,data\processed\v2_labels\Deadlift_028_labels.npy,deadlift,64,11,53
data\processed\tensors\Deadlift_029.npy,data\processed\v2_labels\Deadlift_029_labels.npy,deadlift,64,23,41
data\processed\tensors\Deadlift_030.npy,data\processed\v2_labels\Deadlift_030_labels.npy,deadlift,64,29,35
data\processed\tensors\Deadlift_031.npy,data\processed\v2_labels\Deadlift_031_labels.npy,deadlift,64,10,54
data\processed\tensors\Deadlift_032.npy,data\processed\v2_labels\Deadlift_032_labels.npy,deadlift,64,12,52
data\processed\tensors\Deadlift_033.npy,data\processed\v2_labels\Deadlift_033_labels.npy,deadlift,64,19,45
data\processed\tensors\Deadlift_034.npy,data\processed\v2_labels\Deadlift_034_labels.npy,deadlift,64,17,47
data\processed\tensors\Deadlift_035.npy,data\processed\v2_labels\Deadlift_035_labels.npy,deadlift,64,26,38
data\processed\tensors\Deadlift_036.npy,data\processed\v2_labels\Deadlift_036_labels.npy,deadlift,64,53,11
data\processed\tensors\Deadlift_037.npy,data\processed\v2_labels\Deadlift_037_labels.npy,deadlift,64,14,50
data\processed\tensors\Deadlift_038.npy,data\processed\v2_labels\Deadlift_038_labels.npy,deadlift,64,10,54
data\processed\tensors\Deadlift_039.npy,data\processed\v2_labels\Deadlift_039_labels.npy,deadlift,64,24,40
data\processed\tensors\Deadlift_040.npy,data\processed\v2_labels\Deadlift_040_labels.npy,deadlift,64,20,44
data\processed\tensors\Deadlift_042.npy,data\processed\v2_labels\Deadlift_042_labels.npy,deadlift,64,19,45
data\processed\tensors\Deadlift_043.npy,data\processed\v2_labels\Deadlift_043_labels.npy,deadlift,64,61,3
data\processed\tensors\Deadlift_044.npy,data\processed\v2_labels\Deadlift_044_labels.npy,deadlift,64,42,22
data\processed\tensors\Deadlift_045.npy,data\processed\v2_labels\Deadlift_045_labels.npy,deadlift,64,16,48
data\processed\tensors\Deadlift_046.npy,data\processed\v2_labels\Deadlift_046_labels.npy,deadlift,64,24,40
data\processed\tensors\Deadlift_047.npy,data\processed\v2_labels\Deadlift_047_labels.npy,deadlift,64,32,32
data\processed\tensors\Deadlift_048.npy,data\processed\v2_labels\Deadlift_048_labels.npy,deadlift,64,1,63
data\processed\tensors\Deadlift_049.npy,data\processed\v2_labels\Deadlift_049_labels.npy,deadlift,64,30,34
data\processed\tensors\Deadlift_050.npy,data\processed\v2_labels\Deadlift_050_labels.npy,deadlift,64,26,38
data\processed\tensors\Deadlift_051.npy,data\processed\v2_labels\Deadlift_051_labels.npy,deadlift,64,34,30
data\processed\tensors\Deadlift_052.npy,data\processed\v2_labels\Deadlift_052_labels.npy,deadlift,64,54,10
data\processed\tensors\Deadlift_053.npy,data\processed\v2_labels\Deadlift_053_labels.npy,deadlift,64,37,27
data\processed\tensors\Deadlift_054.npy,data\processed\v2_labels\Deadlift_054_labels.npy,deadlift,64,5,59
data\processed\tensors\Deadlift_055.npy,data\processed\v2_labels\Deadlift_055_labels.npy,deadlift,64,45,19
data\processed\tensors\Deadlift_056.npy,data\processed\v2_labels\Deadlift_056_labels.npy,deadlift,64,23,41
data\processed\tensors\Deadlift_057.npy,data\processed\v2_labels\Deadlift_057_labels.npy,deadlift,64,35,29
data\processed\tensors\Deadlift_058.npy,data\processed\v2_labels\Deadlift_058_labels.npy,deadlift,64,25,39
data\processed\tensors\Deadlift_059.npy,data\processed\v2_labels\Deadlift_059_labels.npy,deadlift,64,24,40
data\processed\tensors\Deadlift_060.npy,data\processed\v2_labels\Deadlift_060_labels.npy,deadlift,64,34,30
data\processed\tensors\Deadlift_061.npy,data\processed\v2_labels\Deadlift_061_labels.npy,deadlift,64,26,38
data\processed\tensors\Deadlift_062.npy,data\processed\v2_labels\Deadlift_062_labels.npy,deadlift,64,18,46
